Local: ,25-Mar-21,01:12:38 AM,tz_sec ,-18000
Linux Epoch (ms): ,1616652758000
Epoch Delta TS,X,Y,Z,Magnitude
7953.031,1,38,-176,180.058323884
7974.156,6,40,-174,178.639301387
7995.281,12,36,-176,180.044438959
8011.5,0,48,-177,183.393020587
8031.375,1,44,-172,177.541544434
8051.25,-10,45,-180,185.809041761
8071.125,9,43,-178,183.341211952
8090.938,9,39,-173,177.569704623
8110.781,7,39,-177,181.380814862
8130.625,15,41,-173,178.42365314
8150.469,25,42,-164,171.128606609
8170.406,20,41,-161,167.337981343
8190.25,17,44,-165,171.610023017
8210.094,9,41,-172,177.048016086
8229.938,28,49,-173,181.972525399
8249.969,3,39,-169,173.467576221
8269.844,3,47,-179,185.091869081
8289.719,5,56,-180,188.576244527
8309.594,3,46,-169,175.174199013
8329.406,4,40,-172,176.635217327
8349.25,9,44,-179,184.548096712
8369.094,3,43,-175,180.230408089
8388.938,12,42,-176,181.339460681
8408.969,12,38,-178,182.406140248
8428.844,23,38,-176,181.518594089
8448.719,4,43,-173,178.308721043
8468.594,12,40,-173,177.969098441
8488.438,15,43,-176,181.796589627
8508.281,15,38,-172,176.785180374
8528.125,16,44,-177,183.087410818
8547.969,6,39,-181,185.251180833
8568,-13,38,-180,184.426136976
8587.875,14,48,-177,183.926615801
8607.75,7,46,-176,182.046697306
8627.625,1,39,-172,176.368931504
8647.5,12,44,-185,190.538709978
8667.375,-2,44,-180,185.310550158
8687.25,12,39,-186,190.423212871
8707.125,31,39,-172,179.069818786
8727,32,39,-176,183.087410818
8746.875,31,32,-193,198.075743088
8766.75,22,46,-176,183.237550737
8786.625,19,46,-170,177.135541324
8806.562,19,40,-185,190.226181163
8826.438,31,39,-177,183.877676731
8846.312,33,40,-176,183.480244168
8866.188,24,46,-179,186.367915694
8886.031,15,47,-182,188.568290017
8905.875,12,44,-177,182.781290071
8925.719,17,44,-177,183.177509537
8945.562,23,39,-180,185.607111933
8965.594,24,51,-177,185.757906965
8985.469,30,39,-168,175.057133531
9005.344,29,41,-177,183.986412542
9025.219,12,41,-183,187.920195828
9045.062,25,41,-180,186.29546425
9064.906,25,48,-179,187.002673778
9084.75,22,48,-178,185.666367444
9104.594,29,39,-177,183.551082808
9124.594,33,47,-175,184.181975231
9144.469,24,43,-167,174.10916116
9164.344,20,48,-180,187.360614858
9184.219,23,48,-168,176.2299634
9204.094,48,46,-177,189.074059564
9223.969,47,48,-177,189.3198352
9243.844,44,44,-184,194.236968675
9263.719,46,41,-185,194.992307541
9283.594,52,48,-178,191.551559639
9303.469,41,46,-168,178.944125358
9323.344,31,43,-173,180.939216313
9343.219,44,48,-181,192.356439975
9363.125,44,46,-184,194.699768875
9383,48,46,-177,189.074059564
9402.875,48,49,-169,182.389692691
9422.75,71,48,-175,194.858923327
9442.625,47,51,-178,191.034028382
9462.5,52,46,-177,190.128903642
9482.375,43,63,-174,189.98420987
9502.25,54,51,-176,191.03141103
9522.094,39,51,-177,188.284359414
9541.938,48,48,-157,171.046777228
9561.781,49,48,-176,188.894150254
9581.625,56,48,-176,190.82976707
9601.719,55,46,-177,190.971202017
9621.625,48,54,-178,192.104138425
9641.531,48,56,-180,194.525062653
9661.438,46,56,-173,187.565988388
9681.125,48,54,-180,193.958758503
9700.969,49,53,-185,198.582476568
9720.812,56,51,-183,198.055547764
9740.656,56,48,-183,197.304333455
9760.719,35,49,-177,186.962563098
